Municipality,MinTimeToNearestStation,FloorPlan,Area,BuildingYear,Structure,Year,Renovation,TradePrice
Chiyoda Ward,1.0,1K,25,2013.0,RC,2019,Not yet,35000000
Chiyoda Ward,1.0,3LDK,95,1984.0,SRC,2019,Not yet,100000000
Chiyoda Ward,1.0,2DK,65,1970.0,SRC,2018,Done,52000000
Chiyoda Ward,2.0,2LDK,95,2001.0,SRC,2018,Done,180000000
Chiyoda Ward,3.0,1K,40,1972.0,SRC,2018,Done,33000000
Chiyoda Ward,1.0,3LDK,100,1970.0,SRC,2018,Not yet,83000000
Chiyoda Ward,2.0,1LDK,50,1977.0,RC,2018,Done,53000000
Chiyoda Ward,2.0,2LDK,85,2009.0,RC,2018,Not yet,140000000
Chiyoda Ward,3.0,1K,40,1972.0,SRC,2018,Not yet,29000000
Chiyoda Ward,3.0,2LDK,55,1972.0,SRC,2017,Done,62000000
Chiyoda Ward,1.0,3LDK,95,1984.0,SRC,2017,Not yet,84000000
Chiyoda Ward,2.0,2LDK,85,2001.0,SRC,2017,Not yet,130000000
Chiyoda Ward,3.0,1LDK,65,1972.0,SRC,2017,Not yet,75000000
Chiyoda Ward,1.0,1K,25,2013.0,RC,2017,Not yet,27000000
Chiyoda Ward,3.0,2LDK,110,2004.0,SRC,2017,Done,200000000
Chiyoda Ward,3.0,3LDK,75,1972.0,SRC,2017,Not yet,79000000
Chiyoda Ward,2.0,3LDK,95,2001.0,SRC,2017,Done,170000000
Chiyoda Ward,3.0,2LDK,55,1972.0,SRC,2017,Done,64000000
Chiyoda Ward,2.0,1K,25,2013.0,RC,2017,Done,29000000
Chiyoda Ward,2.0,1K,40,1977.0,RC,2017,Not yet,37000000
Chiyoda Ward,1.0,2DK,70,1970.0,SRC,2017,Not yet,59000000
Chiyoda Ward,2.0,1LDK,80,2001.0,SRC,2016,Not yet,110000000
Chiyoda Ward,0.0,2LDK,60,1976.0,SRC,2016,Done,57000000
Chiyoda Ward,0.0,1K,20,1976.0,SRC,2016,Not yet,14000000
Chiyoda Ward,3.0,2LDK,125,2004.0,SRC,2016,Not yet,180000000
Chiyoda Ward,5.0,4LDK,170,1984.0,SRC,2016,Done,270000000
Chiyoda Ward,1.0,2LDK,80,1970.0,SRC,2015,Done,73000000
Chiyoda Ward,2.0,2LDK,65,2009.0,RC,2015,Not yet,93000000
Chiyoda Ward,3.0,3LDK,90,2001.0,SRC,2014,Not yet,140000000
Chiyoda Ward,2.0,1LDK,50,2009.0,RC,2014,Not yet,77000000
Chiyoda Ward,2.0,1LDK,50,1977.0,RC,2014,Not yet,28000000
Chiyoda Ward,2.0,2DK,35,1977.0,RC,2014,Not yet,11000000
Chiyoda Ward,0.0,1K,20,1976.0,SRC,2014,Not yet,11000000
Chiyoda Ward,1.0,1K,25,1984.0,SRC,2014,Not yet,20000000
Chiyoda Ward,7.0,1K,25,2006.0,RC,2016,Done,26000000
Chiyoda Ward,11.0,1K,25,2002.0,RC,2016,Not yet,23000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2019,Not yet,24000000
Chiyoda Ward,3.0,1K,25,2002.0,RC,2019,Not yet,29000000
Chiyoda Ward,3.0,1K,20,2003.0,SRC,2019,Not yet,20000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2019,Done,26000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2019,Done,29000000
Chiyoda Ward,1.0,1K,20,2004.0,SRC,2019,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2019,Not yet,25000000
Chiyoda Ward,1.0,1K,20,2004.0,SRC,2019,Done,24000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2018,Not yet,28000000
Chiyoda Ward,4.0,1LDK,45,2014.0,RC,2018,Not yet,50000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2018,Not yet,21000000
Chiyoda Ward,4.0,1DK,30,2005.0,RC,2018,Not yet,29000000
Chiyoda Ward,2.0,2LDK,45,2013.0,RC,2018,Not yet,49000000
Chiyoda Ward,4.0,1K,25,2000.0,SRC,2018,Not yet,25000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2018,Not yet,26000000
Chiyoda Ward,1.0,1K,20,2004.0,SRC,2018,Not yet,24000000
Chiyoda Ward,4.0,1K,20,2007.0,RC,2018,Not yet,25000000
Chiyoda Ward,1.0,1K,20,2004.0,SRC,2018,Done,28000000
Chiyoda Ward,1.0,1K,20,2004.0,SRC,2018,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2018,Not yet,28000000
Chiyoda Ward,2.0,1K,25,2006.0,SRC,2018,Not yet,30000000
Chiyoda Ward,3.0,1K,30,2006.0,RC,2018,Not yet,23000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2018,Not yet,25000000
Chiyoda Ward,3.0,1K,20,2003.0,SRC,2018,Not yet,22000000
Chiyoda Ward,4.0,1LDK,40,2005.0,RC,2017,Done,40000000
Chiyoda Ward,1.0,1DK,20,2006.0,SRC,2017,Not yet,26000000
Chiyoda Ward,3.0,1K,20,2006.0,RC,2017,Not yet,20000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2017,Not yet,26000000
Chiyoda Ward,1.0,1K,20,2004.0,SRC,2017,Not yet,21000000
Chiyoda Ward,1.0,1K,25,2004.0,SRC,2017,Not yet,21000000
Chiyoda Ward,1.0,1K,25,2006.0,SRC,2017,Not yet,26000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2017,Not yet,26000000
Chiyoda Ward,2.0,1K,25,2004.0,SRC,2017,Done,24000000
Chiyoda Ward,4.0,1K,35,2000.0,SRC,2017,Not yet,30000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2017,Not yet,24000000
Chiyoda Ward,4.0,1DK,25,2003.0,RC,2017,Not yet,31000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2017,Done,20000000
Chiyoda Ward,4.0,1K,30,2005.0,RC,2017,Not yet,28000000
Chiyoda Ward,3.0,1LDK,40,2006.0,RC,2017,Not yet,33000000
Chiyoda Ward,2.0,1K,25,2004.0,SRC,2016,Not yet,26000000
Chiyoda Ward,1.0,1R,20,2006.0,SRC,2016,Not yet,24000000
Chiyoda Ward,2.0,1K,25,2004.0,SRC,2016,Not yet,23000000
Chiyoda Ward,4.0,1K,25,2000.0,SRC,2016,Not yet,28000000
Chiyoda Ward,2.0,1DK,25,2006.0,SRC,2016,Not yet,25000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2016,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2016,Not yet,23000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2016,Not yet,24000000
Chiyoda Ward,2.0,1K,25,2004.0,SRC,2016,Not yet,25000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2016,Not yet,23000000
Chiyoda Ward,2.0,1K,25,2006.0,SRC,2016,Not yet,25000000
Chiyoda Ward,2.0,1K,20,2004.0,SRC,2016,Not yet,20000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2015,Not yet,23000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2015,Not yet,22000000
Chiyoda Ward,4.0,1DK,20,2004.0,SRC,2015,Done,21000000
Chiyoda Ward,2.0,1K,25,2006.0,SRC,2015,Not yet,26000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2015,Not yet,22000000
Chiyoda Ward,2.0,1K,25,2006.0,SRC,2015,Not yet,24000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2015,Not yet,23000000
Chiyoda Ward,4.0,1DK,50,2008.0,RC,2015,Not yet,42000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2015,Not yet,23000000
Chiyoda Ward,0.0,1K,20,2004.0,SRC,2015,Not yet,19000000
Chiyoda Ward,2.0,1K,20,2004.0,SRC,2015,Not yet,22000000
Chiyoda Ward,0.0,1K,20,2004.0,SRC,2015,Done,20000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2015,Not yet,23000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2015,Not yet,23000000
Chiyoda Ward,4.0,1K,20,2003.0,RC,2015,Not yet,20000000
Chiyoda Ward,4.0,1K,30,2007.0,RC,2015,Not yet,25000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2015,Not yet,23000000
Chiyoda Ward,4.0,1DK,30,2007.0,RC,2015,Not yet,30000000
Chiyoda Ward,0.0,1K,20,2004.0,SRC,2015,Not yet,16000000
Chiyoda Ward,2.0,1K,20,2006.0,SRC,2014,Not yet,21000000
Chiyoda Ward,6.0,1DK,25,2006.0,RC,2014,Not yet,25000000
Chiyoda Ward,3.0,1K,20,2003.0,SRC,2014,Not yet,19000000
Chiyoda Ward,2.0,1K,25,2006.0,SRC,2014,Done,23000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2014,Not yet,20000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2014,Not yet,23000000
Chiyoda Ward,3.0,1K,20,2003.0,SRC,2014,Not yet,17000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2014,Not yet,16000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2014,Not yet,24000000
Chiyoda Ward,5.0,2LDK,50,2013.0,RC,2014,Not yet,47000000
Chiyoda Ward,4.0,1K+S,35,2000.0,SRC,2014,Not yet,27000000
Chiyoda Ward,1.0,1K,20,2006.0,SRC,2014,Not yet,22000000
Chiyoda Ward,2.0,1K,20,2004.0,SRC,2014,Not yet,17000000
Chiyoda Ward,6.0,1K,25,2014.0,RC,2019,Not yet,27000000
Chiyoda Ward,10.0,1K,20,2002.0,SRC,2016,Done,19000000
Chiyoda Ward,10.0,1K,20,2002.0,SRC,2016,Not yet,20000000
Chiyoda Ward,4.0,1K,25,2009.0,RC,2019,Not yet,28000000
Chiyoda Ward,4.0,1LDK,35,2009.0,RC,2019,Not yet,39000000
Chiyoda Ward,5.0,1K,25,2008.0,RC,2019,Not yet,32000000
Chiyoda Ward,4.0,1K,30,2009.0,RC,2018,Not yet,32000000
Chiyoda Ward,4.0,1K,25,2009.0,RC,2018,Not yet,30000000
Chiyoda Ward,4.0,1K,25,2009.0,RC,2018,Not yet,32000000
Chiyoda Ward,3.0,1K,20,2002.0,SRC,2018,Not yet,22000000
Chiyoda Ward,3.0,1LDK,30,2013.0,RC,2018,Not yet,39000000
Chiyoda Ward,4.0,1LDK,40,2006.0,RC,2018,Not yet,37000000
Chiyoda Ward,3.0,1K,20,2002.0,SRC,2018,Not yet,25000000
Chiyoda Ward,3.0,1K,25,2002.0,SRC,2018,Not yet,17000000
Chiyoda Ward,3.0,1DK,25,2002.0,SRC,2017,Not yet,24000000
Chiyoda Ward,3.0,1LDK,30,2013.0,RC,2017,Not yet,40000000
Chiyoda Ward,3.0,1DK,35,2013.0,RC,2017,Not yet,45000000
Chiyoda Ward,3.0,1K,25,2002.0,SRC,2017,Not yet,27000000
Chiyoda Ward,3.0,2LDK,60,2013.0,RC,2017,Not yet,73000000
Chiyoda Ward,3.0,1LDK,35,2013.0,RC,2017,Not yet,44000000
Chiyoda Ward,2.0,2LDK,50,2014.0,RC,2016,Not yet,57000000
Chiyoda Ward,2.0,1DK,30,2013.0,RC,2016,Not yet,39000000
Chiyoda Ward,2.0,1LDK,35,2014.0,RC,2016,Not yet,40000000
Chiyoda Ward,3.0,1LDK,40,2012.0,RC,2016,Not yet,38000000
Chiyoda Ward,4.0,1DK,40,2006.0,RC,2015,Not yet,35000000
Chiyoda Ward,2.0,1LDK,35,2014.0,RC,2015,Not yet,42000000
Chiyoda Ward,3.0,1K,20,2002.0,SRC,2015,Not yet,22000000
Chiyoda Ward,4.0,1K,30,2006.0,RC,2015,Not yet,28000000
Chiyoda Ward,3.0,1K,25,2002.0,SRC,2015,Not yet,25000000
Chiyoda Ward,5.0,1K,25,2002.0,SRC,2015,Not yet,17000000
Chiyoda Ward,4.0,1K,20,2003.0,RC,2018,Not yet,24000000
Chiyoda Ward,4.0,1K,20,2003.0,RC,2018,Not yet,23000000
Chiyoda Ward,4.0,1K,20,2003.0,RC,2017,Not yet,21000000
Chiyoda Ward,4.0,1K,20,2003.0,RC,2016,Not yet,23000000
Chiyoda Ward,5.0,1K,20,2002.0,RC,2019,Not yet,21000000
Chiyoda Ward,5.0,1K,20,2002.0,RC,2019,Not yet,23000000
Chiyoda Ward,5.0,1K,20,2002.0,RC,2019,Not yet,24000000
Chiyoda Ward,4.0,1K,20,2005.0,RC,2018,Not yet,22000000
Chiyoda Ward,4.0,1K,20,2005.0,RC,2018,Not yet,22000000
Chiyoda Ward,3.0,1K,20,1981.0,RC,2017,Not yet,10000000
Chiyoda Ward,5.0,1K,20,2002.0,RC,2017,Not yet,19000000
Chiyoda Ward,5.0,1K,20,2002.0,RC,2017,Not yet,24000000
Chiyoda Ward,5.0,1K,20,2002.0,RC,2017,Not yet,20000000
Chiyoda Ward,5.0,1K,20,2002.0,RC,2015,Not yet,20000000
Chiyoda Ward,3.0,1K,15,1981.0,RC,2014,Not yet,8200000
Chiyoda Ward,5.0,2LDK,50,2013.0,RC,2019,Not yet,70000000
Chiyoda Ward,5.0,1K,20,2007.0,SRC,2017,Not yet,23000000
Chiyoda Ward,5.0,1K,20,2007.0,SRC,2016,Not yet,14000000
Chiyoda Ward,6.0,1K,20,2007.0,SRC,2015,Not yet,26000000
Chiyoda Ward,4.0,1K,20,2001.0,RC,2015,Not yet,20000000
Chiyoda Ward,4.0,2LDK,50,2014.0,RC,2018,Not yet,60000000
Chiyoda Ward,4.0,2LDK,50,2014.0,RC,2015,Not yet,61000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2019,Not yet,25000000
Chiyoda Ward,3.0,1K,20,2005.0,RC,2019,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2019,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2019,Not yet,23000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2019,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2019,Not yet,25000000
Chiyoda Ward,3.0,1K,20,2005.0,RC,2018,Not yet,26000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2018,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2018,Not yet,27000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2018,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2018,Not yet,24000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2018,Not yet,25000000
Chiyoda Ward,3.0,1K,20,2005.0,RC,2017,Not yet,23000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2016,Not yet,22000000
Chiyoda Ward,4.0,1K,20,2001.0,RC,2016,Not yet,19000000
Chiyoda Ward,4.0,1K,20,2001.0,RC,2015,Not yet,22000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2015,Not yet,19000000
Chiyoda Ward,2.0,1K,20,2005.0,RC,2015,Not yet,18000000
Chiyoda Ward,3.0,2LDK,70,2013.0,SRC,2019,Not yet,130000000
Chiyoda Ward,3.0,3LDK,100,2013.0,SRC,2019,Not yet,200000000
Chiyoda Ward,3.0,1LDK,50,2013.0,SRC,2018,Not yet,85000000
Chiyoda Ward,3.0,2DK,60,2013.0,SRC,2018,Done,120000000
Chiyoda Ward,3.0,2LDK,65,2013.0,SRC,2018,Not yet,150000000
Chiyoda Ward,1.0,1K,25,2003.0,RC,2018,Not yet,25000000
Chiyoda Ward,3.0,2LDK,60,2013.0,SRC,2017,Not yet,53000000
Chiyoda Ward,1.0,1K,20,2003.0,RC,2017,Done,24000000
Chiyoda Ward,1.0,1K,20,2003.0,RC,2016,Not yet,24000000
Chiyoda Ward,3.0,3LDK,75,2013.0,SRC,2016,Not yet,140000000
Chiyoda Ward,3.0,2LDK,100,2013.0,SRC,2015,Not yet,180000000
Chiyoda Ward,1.0,1LDK,35,2003.0,RC,2015,Not yet,43000000
Chiyoda Ward,3.0,3LDK,70,2013.0,SRC,2015,Not yet,150000000
Chiyoda Ward,1.0,1LDK,35,2003.0,RC,2015,Not yet,33000000
Chiyoda Ward,3.0,2LDK,115,2013.0,S,2015,Not yet,200000000
Chiyoda Ward,3.0,4LDK,115,2013.0,SRC,2015,Not yet,260000000
Chiyoda Ward,1.0,1K,30,2003.0,RC,2015,Done,24000000
Chiyoda Ward,3.0,2LDK,80,2013.0,S,2015,Not yet,140000000
Chiyoda Ward,1.0,1LDK,45,2003.0,RC,2018,Not yet,41000000
Chiyoda Ward,1.0,1DK,25,2003.0,RC,2018,Not yet,30000000
Chiyoda Ward,1.0,1K,25,2003.0,RC,2015,Not yet,23000000
Chiyoda Ward,3.0,1LDK+S,60,2013.0,SRC,2018,Not yet,95000000
Chiyoda Ward,4.0,1K,20,2000.0,RC,2019,Not yet,23000000
Chiyoda Ward,4.0,1DK,30,2004.0,RC,2018,Not yet,25000000
Chiyoda Ward,5.0,1K,20,2000.0,RC,2018,Not yet,21000000
Chiyoda Ward,5.0,1K,20,2000.0,RC,2018,Not yet,12000000
Chiyoda Ward,5.0,1K,20,2000.0,RC,2017,Not yet,13000000
Chiyoda Ward,4.0,1K,20,2004.0,RC,2016,Not yet,21000000
Chiyoda Ward,3.0,1DK,20,2005.0,RC,2016,Not yet,9500000
Chiyoda Ward,5.0,2LDK,50,2013.0,RC,2016,Not yet,59000000
Chiyoda Ward,5.0,1K,20,2000.0,RC,2016,Done,19000000
Chiyoda Ward,4.0,1K,30,2004.0,RC,2016,Not yet,31000000
Chiyoda Ward,4.0,1K,20,2001.0,SRC,2016,Not yet,20000000
Chiyoda Ward,4.0,1K,20,2001.0,SRC,2016,Done,15000000
Chiyoda Ward,5.0,1K,20,2000.0,RC,2015,Not yet,21000000
Chiyoda Ward,8.0,3LDK,70,2013.0,RC,2015,Not yet,60000000
Chiyoda Ward,3.0,1K,15,1980.0,SRC,2019,Done,14000000
Chiyoda Ward,4.0,1K,15,1980.0,SRC,2019,Not yet,11000000
Chiyoda Ward,4.0,1K,15,1980.0,SRC,2018,Not yet,11000000
Chiyoda Ward,3.0,1K,15,1980.0,SRC,2017,Not yet,11000000
Chiyoda Ward,3.0,1K,15,1980.0,SRC,2017,Done,11000000
Chiyoda Ward,3.0,1K,15,1980.0,SRC,2017,Not yet,12000000
Chiyoda Ward,3.0,1K,15,1980.0,SRC,2017,Not yet,11000000
Chiyoda Ward,3.0,1K,15,1980.0,SRC,2016,Not yet,15000000
Chiyoda Ward,3.0,1K,15,1980.0,SRC,2016,Not yet,11000000
Chiyoda Ward,3.0,1K,15,1980.0,SRC,2014,Not yet,7000000
Chiyoda Ward,3.0,2DK,35,1982.0,SRC,2016,Done,28000000
Chiyoda Ward,3.0,1K,20,1982.0,SRC,2015,Not yet,11000000
Chiyoda Ward,4.0,1R,40,2004.0,SRC,2018,Not yet,40000000
Chiyoda Ward,4.0,1K,30,2004.0,SRC,2016,Not yet,32000000
Chiyoda Ward,4.0,1LDK,40,2004.0,SRC,2014,Not yet,39000000
Chiyoda Ward,5.0,1K,15,2001.0,SRC,2019,Not yet,21000000
Chiyoda Ward,6.0,1DK,20,2000.0,SRC,2019,Not yet,22000000
Chiyoda Ward,3.0,1LDK,40,2012.0,RC,2018,Not yet,43000000
Chiyoda Ward,3.0,1DK,30,2012.0,RC,2018,Not yet,36000000
Chiyoda Ward,4.0,1LDK,45,2003.0,SRC,2018,Not yet,37000000
Chiyoda Ward,6.0,1DK,30,2008.0,RC,2017,Not yet,30000000
Chiyoda Ward,6.0,1K,20,2000.0,SRC,2017,Done,20000000
Chiyoda Ward,6.0,1K,30,2008.0,RC,2017,Not yet,35000000
Chiyoda Ward,4.0,1LDK,45,2003.0,SRC,2016,Not yet,37000000
Chiyoda Ward,4.0,3LDK,65,2000.0,SRC,2016,Not yet,48000000
Chiyoda Ward,5.0,1K,20,2001.0,SRC,2016,Not yet,20000000
Chiyoda Ward,3.0,1DK,30,2012.0,RC,2016,Not yet,35000000
Chiyoda Ward,4.0,1LDK,45,2003.0,SRC,2015,Done,40000000
Chiyoda Ward,11.0,1LDK,45,2003.0,SRC,2015,Not yet,36000000
Chiyoda Ward,5.0,1K,20,2001.0,SRC,2014,Not yet,18000000
Chiyoda Ward,6.0,1K,20,2000.0,SRC,2014,Done,18000000
Chiyoda Ward,6.0,1LDK,40,2008.0,RC,2014,Not yet,31000000
Chiyoda Ward,4.0,1K,20,2000.0,SRC,2014,Not yet,16000000
Chiyoda Ward,6.0,1K,30,2008.0,RC,2014,Not yet,33000000
Chiyoda Ward,3.0,1LDK,35,2012.0,RC,2014,Not yet,36000000
Chiyoda Ward,10.0,2LDK,60,1977.0,SRC,2017,Done,57000000
Chiyoda Ward,6.0,1R,20,2009.0,RC,2019,Not yet,27000000
Chiyoda Ward,5.0,1LDK,40,2009.0,RC,2018,Not yet,50000000
Chiyoda Ward,6.0,1LDK,35,2009.0,RC,2018,Not yet,48000000
Chiyoda Ward,6.0,1K,20,2009.0,RC,2018,Not yet,28000000
Chiyoda Ward,5.0,2LDK,55,2016.0,RC,2018,Not yet,84000000
Chiyoda Ward,5.0,1LDK,35,2009.0,RC,2018,Not yet,43000000
Chiyoda Ward,5.0,1K,20,2009.0,RC,2018,Not yet,24000000
Chiyoda Ward,5.0,2DK,40,2015.0,RC,2017,Not yet,33000000
Chiyoda Ward,2.0,2LDK,55,2016.0,RC,2017,Not yet,79000000
Chiyoda Ward,5.0,1R,20,2009.0,RC,2017,Not yet,25000000
Chiyoda Ward,5.0,1LDK,35,2009.0,RC,2016,Not yet,38000000
Chiyoda Ward,5.0,1K,20,2015.0,RC,2016,Not yet,25000000
Chiyoda Ward,5.0,1LDK,40,2009.0,RC,2014,Not yet,35000000
Chiyoda Ward,4.0,1K,25,2013.0,RC,2019,Not yet,30000000
Chiyoda Ward,4.0,1K,25,2013.0,RC,2018,Not yet,27000000
Chiyoda Ward,4.0,2LDK,75,1998.0,SRC,2018,Done,77000000
Chiyoda Ward,7.0,2DK,40,2009.0,RC,2018,Not yet,41000000
Chiyoda Ward,4.0,1K,20,2002.0,SRC,2017,Not yet,25000000
Chiyoda Ward,4.0,1LDK,40,2013.0,RC,2017,Not yet,37000000
Chiyoda Ward,4.0,1K,20,2002.0,SRC,2017,Not yet,20000000
Chiyoda Ward,6.0,1LDK,40,2007.0,RC,2016,Done,43000000
Chiyoda Ward,4.0,1K,25,2002.0,SRC,2016,Not yet,18000000
Chiyoda Ward,4.0,1K,30,2002.0,SRC,2015,Not yet,24000000
Chiyoda Ward,3.0,1K,20,1978.0,RC,2019,Done,17000000
Chiyoda Ward,3.0,1K,40,2011.0,RC,2018,Not yet,39000000
Chiyoda Ward,2.0,1LDK,30,1998.0,SRC,2018,Done,39000000
Chiyoda Ward,3.0,1K,20,2011.0,RC,2018,Not yet,23000000
Chiyoda Ward,3.0,1K,20,1978.0,RC,2017,Not yet,12000000
Chiyoda Ward,2.0,1K,20,1997.0,SRC,2017,Not yet,19000000
Chiyoda Ward,3.0,1K,25,2011.0,RC,2017,Not yet,33000000
Chiyoda Ward,3.0,1K,35,2000.0,SRC,2017,Done,42000000
Chiyoda Ward,2.0,2LDK,50,1998.0,SRC,2017,Not yet,50000000
Chiyoda Ward,2.0,2LDK,55,1998.0,SRC,2016,Done,55000000
Chiyoda Ward,3.0,1K,35,2000.0,SRC,2016,Done,39000000
Chiyoda Ward,3.0,1LDK,40,2011.0,RC,2016,Not yet,41000000
